event(105, 1).
event(174, 1).
event(556, 1).
event(667, 0).
event(178, 2).
event(507, 1).
event(360, 2).
event(104, 1).
event(135, 3).
event(231, 1).
event(659, 3).
event(200, 1).
event(351, 1).
event(668, 0).
event(399, 0).
event(317, 2).
event(124, 1).
event(358, 1).
event(731, 3).
event(509, 3).
event(277, 2).
event(603, 0).
event(232, 0).
event(666, 0).
event(325, 2).
event(674, 2).
event(213, 2).
event(375, 2).
event(688, 2).
event(215, 3).
event(710, 1).
event(249, 0).
event(113, 1).
event(76, 2).
event(156, 0).
event(406, 1).
event(208, 1).
event(458, 0).
event(738, 1).
event(235, 3).
event(558, 2).
event(201, 1).
event(98, 3).
event(472, 2).
event(88, 0).
event(128, 1).
event(111, 3).
event(664, 2).
event(122, 2).
event(752, 3).
event(320, 0).
event(492, 1).
event(184, 1).
event(633, 0).
event(650, 2).
event(228, 3).
event(457, 2).
event(392, 3).
event(745, 0).
event(281, 3).
event(524, 0).
event(533, 1).
event(713, 2).
event(209, 0).
event(394, 1).
event(767, 3).
event(179, 3).
event(582, 0).
event(14, 1).
event(609, 1).
event(136, 3).
event(693, 2).
event(216, 0).
event(612, 0).
event(548, 2).
event(776, 0).
event(298, 3).
event(493, 2).
event(443, 1).
event(339, 2).
event(604, 1).
event(448, 2).
event(709, 0).
event(657, 2).
event(177, 1).
event(432, 2).
event(789, 3).
event(619, 2).
event(695, 3).
event(715, 3).
event(642, 2).
event(714, 2).
event(254, 3).
event(347, 2).
event(410, 2).
event(553, 1).
event(152, 1).
event(130, 3).
event(530, 2).
event(5, 2).
event(190, 2).
event(109, 2).
event(356, 3).
event(40, 1).
event(49, 3).
event(10, 3).
event(780, 1).
event(435, 0).
event(381, 2).
event(149, 3).
event(117, 2).
event(486, 3).
event(248, 1).
event(712, 0).
event(99, 1).
event(345, 1).
event(552, 1).
event(459, 3).
event(315, 1).
event(510, 1).
event(535, 1).
event(199, 2).
event(391, 2).
event(573, 1).
event(303, 0).
event(82, 2).
event(584, 2).
event(276, 1).
event(546, 3).
event(450, 1).
event(466, 1).
event(63, 0).
event(691, 1).
event(405, 3).
event(3, 1).
event(382, 1).
event(86, 3).
event(557, 3).
event(542, 0).
event(489, 0).
event(783, 1).
event(662, 0).
event(464, 0).
event(81, 0).
event(618, 1).
event(233, 2).
event(440, 0).
event(205, 1).
event(108, 0).
event(211, 1).
event(268, 2).
event(643, 3).
event(637, 1).
event(540, 3).
event(187, 2).
event(330, 3).
event(648, 1).
event(341, 3).
event(290, 1).
event(16, 2).
event(577, 0).
event(454, 1).
event(310, 1).
event(1, 0).
event(120, 2).
event(283, 0).
event(433, 3).
event(68, 0).
event(561, 3).
event(44, 3).
event(400, 2).
event(112, 1).
event(12, 3).
event(229, 0).
event(453, 0).
event(774, 2).
event(760, 3).
event(473, 0).
event(269, 1).
event(21, 0).
event(51, 0).
event(23, 1).
event(477, 2).
event(570, 2).
event(390, 2).
event(309, 1).
event(475, 1).
event(676, 1).
event(669, 0).
event(519, 0).
event(161, 2).
event(790, 0).
event(321, 3).
event(220, 2).
event(192, 0).
event(378, 2).
event(452, 3).
event(78, 1).
event(365, 2).
event(296, 0).
event(74, 3).
event(279, 3).
event(6, 1).
event(596, 0).
event(246, 0).
event(638, 1).
event(24, 1).
event(671, 1).
event(291, 3).
event(359, 0).
event(143, 2).
event(224, 1).
event(515, 2).
event(77, 1).
event(198, 3).
event(673, 2).
event(171, 2).
event(119, 0).
event(260, 0).
event(252, 2).
event(366, 1).
event(102, 1).
event(711, 1).
event(416, 1).
event(327, 3).
event(568, 2).
event(551, 2).
event(591, 2).
event(157, 3).
event(397, 1).
event(270, 1).
event(326, 0).
event(181, 3).
event(251, 1).
event(581, 3).
event(732, 2).
event(451, 0).
event(361, 3).
event(255, 3).
event(107, 3).
event(25, 2).
event(593, 1).
event(95, 0).
event(293, 0).
event(491, 1).
event(572, 1).
event(234, 0).
event(455, 1).
event(28, 2).
event(206, 0).
event(189, 2).
event(37, 0).
event(555, 2).
event(308, 2).
event(479, 3).
event(250, 3).
event(30, 3).
event(429, 0).
event(72, 1).
event(242, 3).
event(527, 0).
event(134, 1).
event(59, 1).
event(563, 2).
event(716, 2).
event(67, 1).
event(7, 3).
event(490, 3).
event(684, 2).
event(75, 0).
event(495, 3).
event(27, 3).
event(629, 3).
event(69, 0).
event(526, 0).
event(500, 3).
event(470, 1).
event(444, 2).
event(702, 0).
event(484, 1).
event(743, 0).
event(678, 1).
event(779, 1).
event(114, 0).
event(747, 1).
event(588, 2).
event(385, 2).
event(425, 3).
event(675, 3).
event(787, 0).
event(765, 1).
event(639, 0).
event(355, 1).
event(159, 2).
event(34, 0).
event(8, 1).
event(689, 0).
event(56, 0).
event(253, 2).
event(733, 0).
event(645, 3).
event(462, 0).
event(262, 2).
event(646, 2).
event(698, 1).
event(318, 2).
event(781, 0).
event(587, 1).
event(476, 2).
event(574, 3).
event(447, 1).
event(408, 1).
event(357, 1).
event(398, 1).
event(50, 3).
event(210, 0).
event(670, 3).
event(180, 2).
event(696, 2).
event(538, 1).
event(656, 0).
event(203, 3).
event(118, 0).
event(207, 3).
event(70, 1).
event(121, 0).
event(508, 1).
event(169, 0).
event(549, 3).
event(613, 3).
event(427, 0).
