happensAt(906, 0).
happensAt(392, 1).
happensAt(527, 2).
happensAt(1000, 3).
happensAt(914, 4).
happensAt(1815, 5).
happensAt(1883, 6).
happensAt(1680, 7).
happensAt(1095, 8).
happensAt(1192, 9).
happensAt(639, 10).
happensAt(642, 11).
happensAt(34, 12).
happensAt(317, 13).
happensAt(1842, 14).
happensAt(1438, 15).
happensAt(115, 16).
happensAt(380, 17).
happensAt(1829, 18).
happensAt(633, 19).
happensAt(1667, 20).
happensAt(414, 21).
happensAt(991, 22).
happensAt(987, 23).
happensAt(131, 24).
happensAt(891, 25).
happensAt(74, 26).
happensAt(1809, 27).
happensAt(1703, 28).
happensAt(1868, 29).
happensAt(688, 30).
happensAt(548, 31).
happensAt(438, 32).
happensAt(848, 33).
happensAt(1631, 34).
happensAt(662, 35).
happensAt(1176, 36).
happensAt(1611, 37).
happensAt(957, 38).
happensAt(1723, 39).
happensAt(1259, 40).
happensAt(1894, 41).
happensAt(813, 42).
happensAt(1030, 43).
happensAt(875, 44).
happensAt(648, 45).
happensAt(859, 46).
happensAt(6, 47).
happensAt(1195, 48).
happensAt(604, 49).
happensAt(1603, 50).
happensAt(1718, 51).
happensAt(171, 52).
happensAt(67, 53).
happensAt(1888, 54).
happensAt(1203, 55).
happensAt(1277, 56).
happensAt(1765, 57).
happensAt(840, 58).
happensAt(24, 59).
happensAt(1766, 60).
happensAt(549, 61).
happensAt(1144, 62).
happensAt(315, 63).
happensAt(375, 64).
happensAt(303, 65).
happensAt(1874, 66).
happensAt(1199, 67).
happensAt(1011, 68).
happensAt(194, 69).
happensAt(1124, 70).
happensAt(119, 71).
happensAt(213, 72).
happensAt(941, 73).
happensAt(50, 74).
happensAt(128, 75).
happensAt(1472, 76).
happensAt(20, 77).
happensAt(464, 78).
happensAt(668, 79).
happensAt(253, 80).
happensAt(40, 81).
happensAt(1460, 82).
happensAt(59, 83).
happensAt(1301, 84).
happensAt(603, 85).
happensAt(702, 86).
happensAt(1447, 87).
happensAt(1959, 88).
happensAt(1675, 89).
happensAt(493, 90).
happensAt(1685, 91).
happensAt(410, 92).
happensAt(1469, 93).
happensAt(568, 94).
happensAt(479, 95).
happensAt(163, 96).
happensAt(556, 97).
happensAt(1497, 98).
happensAt(1390, 99).
happensAt(711, 100).
happensAt(1634, 101).
happensAt(207, 102).
happensAt(99, 103).
happensAt(152, 104).
happensAt(1334, 105).
happensAt(700, 106).
happensAt(330, 107).
happensAt(1238, 108).
happensAt(89, 109).
happensAt(1549, 110).
happensAt(684, 111).
happensAt(242, 112).
happensAt(1645, 113).
happensAt(1359, 114).
happensAt(746, 115).
happensAt(289, 116).
happensAt(1554, 117).
happensAt(222, 118).
happensAt(440, 119).
happensAt(1654, 120).
happensAt(515, 121).
happensAt(982, 122).
happensAt(1108, 123).
happensAt(1185, 124).
happensAt(1545, 125).
happensAt(1165, 126).
happensAt(1930, 127).
happensAt(310, 128).
happensAt(272, 129).
happensAt(1007, 130).
happensAt(967, 131).
happensAt(1148, 132).
happensAt(462, 133).
happensAt(136, 134).
happensAt(1197, 135).
happensAt(874, 136).
happensAt(1369, 137).
happensAt(408, 138).
happensAt(472, 139).
happensAt(1837, 140).
happensAt(134, 141).
happensAt(850, 142).
happensAt(1271, 143).
happensAt(710, 144).
happensAt(1679, 145).
happensAt(1601, 146).
happensAt(709, 147).
happensAt(670, 148).
happensAt(231, 149).
happensAt(1090, 150).
happensAt(1010, 151).
happensAt(1367, 152).
happensAt(638, 153).
happensAt(118, 154).
happensAt(1932, 155).
happensAt(1397, 156).
happensAt(1628, 157).
happensAt(1378, 158).
happensAt(609, 159).
happensAt(1330, 160).
happensAt(729, 161).
happensAt(1596, 162).
happensAt(1443, 163).
happensAt(779, 164).
happensAt(1921, 165).
happensAt(1006, 166).
