event1(949, 0).
event2(5, 2).
event1(781, 0).
event2(16, 2).
event1(957, 0).
event2(25, 2).
event1(1081, 1).
event2(28, 2).
event1(582, 0).
event2(76, 2).
event1(75, 0).
event2(82, 2).
event1(99, 1).
event2(109, 2).
event1(979, 0).
event2(117, 2).
event1(993, 1).
event2(120, 2).
event1(1131, 1).
event2(122, 2).
event1(156, 0).
event2(143, 2).
event1(1028, 0).
event2(159, 2).
event1(320, 0).
event2(161, 2).
event1(1069, 1).
event2(171, 2).
event1(59, 1).
event2(178, 2).
event1(639, 0).
event2(180, 2).
event1(825, 0).
event2(187, 2).
event1(1148, 1).
event2(189, 2).
event1(587, 1).
event2(190, 2).
event1(593, 1).
event2(199, 2).
event1(535, 1).
event2(213, 2).
event1(427, 0).
event2(220, 2).
event1(1115, 1).
event2(233, 2).
event1(1192, 1).
event2(252, 2).
event1(648, 1).
event2(253, 2).
event1(357, 1).
event2(262, 2).
event1(952, 0).
event2(268, 2).
event1(783, 1).
event2(277, 2).
event1(1049, 0).
event2(308, 2).
event1(889, 0).
event2(317, 2).
event1(676, 1).
event2(318, 2).
event1(184, 1).
event2(325, 2).
event1(269, 1).
event2(339, 2).
event1(787, 0).
event2(347, 2).
event1(231, 1).
event2(360, 2).
event1(112, 1).
event2(365, 2).
event1(399, 0).
event2(375, 2).
event1(14, 1).
event2(378, 2).
event1(872, 0).
event2(381, 2).
event1(246, 0).
event2(385, 2).
event1(1076, 0).
event2(390, 2).
event1(24, 1).
event2(391, 2).
event1(177, 1).
event2(400, 2).
event1(1051, 1).
event2(410, 2).
event1(662, 0).
event2(432, 2).
event1(656, 0).
event2(444, 2).
event1(248, 1).
event2(448, 2).
event1(552, 1).
event2(457, 2).
event1(359, 0).
event2(472, 2).
event1(1003, 1).
event2(476, 2).
event1(1179, 0).
event2(477, 2).
event1(23, 1).
event2(493, 2).
event1(678, 1).
event2(515, 2).
event1(1137, 0).
event2(530, 2).
event1(1123, 1).
event2(548, 2).
event1(113, 1).
event2(551, 2).
event1(283, 0).
event2(555, 2).
event1(733, 0).
event2(558, 2).
event1(1, 0).
event2(563, 2).
event1(1031, 1).
event2(568, 2).
event1(745, 0).
event2(570, 2).
event1(965, 0).
event2(584, 2).
event1(398, 1).
event2(588, 2).
event1(709, 0).
event2(591, 2).
event1(1044, 1).
event2(619, 2).
event1(8, 1).
event2(642, 2).
event1(296, 0).
event2(646, 2).
event1(779, 1).
