event1(1044, 1).
event2(1863, 3).
event1(1927, 0).
event2(1390, 2).
event1(201, 1).
event2(1573, 2).
event1(1627, 1).
event2(277, 2).
event1(1725, 0).
event2(767, 3).
event1(1065, 1).
event2(1649, 2).
event1(604, 1).
event2(1361, 2).
event1(535, 1).
event2(1299, 2).
event1(765, 1).
event2(1407, 2).
event1(1259, 1).
event2(490, 3).
event1(1081, 1).
event2(392, 3).
event1(1293, 1).
event2(613, 3).
event1(1786, 1).
event2(1660, 2).
event1(691, 1).
event2(1007, 3).
event1(453, 0).
event2(476, 2).
event1(1775, 0).
event2(1971, 3).
event1(1601, 1).
event2(12, 3).
event1(1452, 1).
event2(1603, 3).
event1(1879, 1).
event2(1872, 3).
event1(1969, 0).
event2(1077, 3).
event1(1837, 0).
event2(1097, 3).
event1(492, 1).
event2(808, 3).
event1(891, 1).
event2(642, 2).
event1(1607, 1).
event2(279, 3).
event1(124, 1).
event2(861, 3).
event1(416, 1).
event2(1987, 2).
event1(1904, 0).
event2(1255, 2).
event1(1118, 1).
event2(1486, 3).
event1(1831, 1).
event2(1234, 3).
event1(1371, 0).
event2(1144, 3).
event1(783, 1).
event2(1129, 2).
event1(1243, 1).
event2(1952, 2).
event1(1723, 0).
event2(1048, 2).
event1(1107, 0).
event2(1108, 3).
event1(462, 0).
event2(774, 2).
event1(398, 1).
event2(1226, 3).
event1(320, 0).
event2(111, 3).
event1(1907, 0).
event2(181, 3).
event1(1365, 1).
event2(1714, 2).
event1(260, 0).
event2(268, 2).
event1(1084, 1).
event2(1572, 2).
event1(927, 0).
event2(814, 2).
event1(979, 0).
event2(1994, 3).
event1(326, 0).
event2(291, 3).
event1(1287, 1).
event2(1588, 3).
event1(1192, 1).
event2(1178, 3).
event1(440, 0).
event2(1651, 3).
event1(3, 1).
event2(74, 3).
event1(104, 1).
event2(1334, 2).
event1(1645, 0).
event2(715, 3).
event1(206, 0).
event2(1444, 2).
event1(1496, 1).
event2(1894, 2).
event1(638, 1).
event2(1624, 2).
event1(1798, 0).
event2(82, 2).
event1(1090, 0).
event2(1409, 3).
event1(905, 1).
event2(874, 3).
event1(1579, 1).
event2(117, 2).
event1(14, 1).
event2(1852, 2).
event1(1930, 0).
event2(1351, 3).
event1(1069, 1).
event2(179, 3).
event1(68, 0).
event2(1124, 2).
event1(1458, 1).
event2(452, 3).
event1(1956, 0).
event2(1213, 2).
event1(1717, 1).
event2(207, 3).
event1(293, 0).
event2(390, 2).
event1(1046, 0).
event2(1246, 2).
event1(69, 0).
event2(1262, 2).
event1(527, 0).
event2(732, 2).
event1(1963, 0).
event2(684, 2).
event1(835, 1).
event2(109, 2).
event1(208, 1).
event2(509, 3).
event1(1405, 1).
event2(1260, 3).
event1(1819, 0).
event2(1295, 3).
event1(978, 1).
event2(1715, 2).
event1(1040, 0).
event2(1724, 2).
event1(234, 0).
event2(1799, 3).
event1(671, 1).
event2(159, 2).
event1(1002, 1).
event2(1121, 3).
event1(192, 0).
event2(1429, 3).
event1(1425, 1).
event2(645, 3).
event1(1530, 0).
event2(1241, 3).
event1(949, 0).
event2(629, 3).
event1(1664, 0).
event2(86, 3).
event1(1152, 0).
event2(180, 2).
event1(382, 1).
event2(1244, 3).
event1(51, 0).
event2(199, 2).
event1(1682, 0).
event2(1378, 3).
event1(965, 0).
event2(405, 3).
event1(303, 0).
event2(1551, 3).
event1(903, 0).
event2(801, 2).
event1(1060, 1).
event2(1935, 3).
event1(1369, 1).
event2(1921, 3).
event1(1502, 0).
event2(574, 3).
event1(1501, 0).
event2(1602, 2).
event1(1377, 0).
event2(1566, 3).
event1(1028, 0).
event2(171, 2).
event1(1277, 1).
event2(1677, 3).
event1(1197, 1).
event2(854, 2).
event1(1909, 1).
event2(1689, 3).
event1(1132, 1).
event2(938, 2).
event1(709, 0).
event2(16, 2).
event1(1787, 1).
event2(875, 3).
event1(489, 0).
