event(953, 3).
event(1052, 1).
event(866, 2).
event(1387, 0).
event(577, 0).
event(1295, 3).
event(321, 3).
event(1260, 3).
event(801, 2).
event(931, 2).
event(7, 3).
event(3, 1).
event(1334, 2).
event(433, 3).
event(1874, 2).
event(475, 1).
event(907, 2).
event(1144, 3).
event(533, 1).
event(612, 0).
event(262, 2).
event(790, 0).
event(1578, 0).
event(946, 2).
event(1449, 3).
event(1558, 2).
event(1375, 1).
event(220, 2).
event(1606, 0).
event(1926, 0).
event(1368, 0).
event(1429, 3).
event(712, 0).
event(1791, 3).
event(1722, 3).
event(1724, 2).
event(27, 3).
event(1930, 0).
event(359, 0).
event(1168, 0).
event(1603, 3).
event(1403, 0).
event(830, 2).
event(1920, 2).
event(1729, 0).
event(1409, 3).
event(1495, 0).
event(1715, 2).
event(1179, 0).
event(382, 1).
event(1915, 1).
event(1287, 1).
event(233, 2).
event(1989, 1).
event(1131, 1).
event(1277, 1).
event(462, 0).
event(30, 3).
event(568, 2).
event(1044, 1).
event(1444, 2).
event(77, 1).
event(254, 3).
event(510, 1).
event(1863, 3).
event(102, 1).
event(315, 1).
event(1213, 2).
event(1510, 2).
event(189, 2).
event(1689, 3).
event(1425, 1).
event(1774, 2).
event(298, 3).
event(1502, 0).
event(558, 2).
event(49, 3).
event(1145, 3).
event(1754, 2).
event(524, 0).
event(905, 1).
event(1894, 2).
event(117, 2).
event(1301, 2).
event(1270, 2).
event(752, 3).
event(807, 2).
event(1486, 3).
event(548, 2).
event(1348, 3).
event(215, 3).
event(1031, 1).
event(75, 0).
event(1755, 2).
event(1069, 1).
event(813, 2).
event(1703, 1).
event(639, 0).
event(1178, 3).
event(1432, 3).
event(1936, 1).
event(128, 1).
event(178, 2).
event(1299, 2).
event(458, 0).
event(429, 0).
event(1040, 0).
event(1378, 3).
event(1028, 0).
event(1132, 1).
event(674, 2).
event(1665, 1).
event(232, 0).
event(1660, 2).
event(1129, 2).
event(1395, 2).
event(1998, 2).
event(1651, 3).
event(37, 0).
event(1346, 0).
event(1363, 0).
event(1047, 2).
event(979, 0).
event(1331, 1).
event(1140, 2).
event(833, 1).
event(1908, 3).
event(1590, 0).
event(111, 3).
event(1945, 1).
event(546, 3).
event(1243, 1).
event(1714, 2).
event(1469, 3).
event(1021, 3).
event(1492, 2).
event(1351, 3).
event(345, 1).
event(698, 1).
event(339, 2).
event(535, 1).
event(444, 2).
event(24, 1).
event(198, 3).
event(978, 1).
event(638, 1).
event(119, 0).
event(961, 1).
event(808, 3).
event(330, 3).
event(1697, 1).
event(1501, 0).
event(357, 1).
event(1443, 0).
event(1471, 0).
event(844, 2).
event(1941, 3).
event(584, 2).
event(308, 2).
event(1290, 3).
event(809, 1).
event(1712, 0).
event(408, 1).
event(157, 3).
event(1033, 2).
event(1244, 3).
event(269, 1).
event(1676, 1).
event(1876, 0).
event(1377, 0).
event(174, 1).
event(14, 1).
event(1458, 1).
event(1841, 2).
event(290, 1).
event(1209, 0).
event(1321, 1).
event(669, 0).
event(530, 2).
event(1879, 1).
event(555, 2).
event(1238, 1).
event(1055, 3).
event(229, 0).
event(582, 0).
event(1152, 0).
event(1341, 3).
event(1049, 0).
event(603, 0).
event(591, 2).
event(1385, 2).
event(1478, 2).
event(656, 0).
event(1797, 0).
event(1675, 3).
event(1870, 3).
event(399, 0).
event(1594, 3).
event(16, 2).
event(1597, 1).
event(114, 0).
event(1517, 0).
event(702, 0).
event(1904, 0).
event(861, 3).
event(318, 2).
event(1815, 1).
event(1080, 1).
event(293, 0).
event(246, 0).
event(1888, 2).
event(231, 1).
event(556, 1).
event(1602, 2).
event(5, 2).
event(268, 2).
event(1000, 0).
event(1262, 2).
event(470, 1).
event(1226, 3).
event(82, 2).
event(1614, 2).
event(59, 1).
event(1293, 1).
event(1123, 1).
event(491, 1).
event(124, 1).
event(1877, 0).
event(1838, 1).
event(210, 0).
event(1588, 3).
event(1529, 3).
event(838, 1).
event(787, 0).
event(1800, 2).
event(609, 1).
event(676, 1).
event(1969, 0).
event(1454, 0).
event(1699, 1).
event(68, 0).
event(1095, 1).
event(1174, 1).
event(143, 2).
event(1252, 1).
event(1365, 1).
event(472, 2).
event(179, 3).
event(276, 1).
event(1601, 1).
event(691, 1).
event(1463, 1).
event(454, 1).
event(341, 3).
event(1035, 3).
event(1068, 3).
event(1649, 2).
event(1679, 2).
event(477, 2).
event(1680, 1).
event(1647, 1).
event(1386, 0).
event(1778, 3).
event(361, 3).
event(394, 1).
event(992, 3).
event(860, 0).
event(320, 0).
event(1150, 3).
event(557, 3).
event(959, 1).
event(574, 3).
event(130, 3).
event(500, 3).
event(731, 3).
event(1391, 2).
event(180, 2).
event(216, 0).
event(1573, 2).
event(1723, 0).
event(874, 3).
event(1831, 1).
event(205, 1).
event(1090, 0).
event(709, 0).
event(542, 0).
event(235, 3).
event(1192, 1).
event(309, 1).
event(1357, 3).
event(783, 1).
event(457, 2).
event(671, 1).
event(998, 3).
event(1119, 3).
event(1320, 3).
event(1315, 3).
event(381, 2).
event(1034, 2).
event(1002, 1).
event(1175, 2).
event(1822, 1).
event(1611, 3).
event(1085, 1).
event(1530, 0).
event(552, 1).
event(451, 0).
event(56, 0).
event(593, 1).
event(1010, 2).
event(1405, 1).
event(1549, 2).
event(1354, 1).
event(1947, 2).
event(112, 1).
event(573, 1).
event(891, 1).
event(1868, 0).
event(1786, 1).
event(50, 3).
event(515, 2).
event(1474, 3).
event(1627, 1).
event(1862, 3).
event(696, 2).
event(192, 0).
event(695, 3).
event(1828, 0).
event(190, 2).
event(642, 2).
event(283, 0).
event(1883, 3).
event(818, 0).
event(260, 0).
event(714, 2).
event(1102, 0).
event(1367, 0).
event(1927, 0).
event(646, 2).
event(835, 1).
event(572, 1).
event(716, 2).
event(526, 0).
event(1624, 2).
event(1923, 2).
event(1852, 2).
event(587, 1).
event(871, 1).
event(1942, 1).
event(159, 2).
event(455, 1).
event(993, 1).
event(1018, 0).
event(118, 0).
event(1118, 1).
event(405, 3).
event(673, 2).
event(1084, 1).
event(1242, 1).
event(619, 2).
event(941, 1).
event(779, 1).
event(479, 3).
event(867, 3).
event(1583, 3).
event(733, 0).
event(821, 1).
event(360, 2).
event(398, 1).
event(1550, 2).
event(1860, 1).
event(508, 1).
event(814, 2).
event(943, 0).
event(1246, 2).
event(203, 3).
event(152, 1).
event(549, 3).
event(1766, 2).
event(109, 2).
event(1470, 3).
event(347, 2).
event(843, 3).
event(391, 2).
event(207, 3).
event(1539, 2).
event(1053, 2).
event(435, 0).
event(982, 1).
event(325, 2).
event(234, 0).
event(1561, 2).
event(486, 3).
event(1197, 1).
event(122, 2).
event(1065, 1).
event(875, 3).
event(1531, 2).
event(1963, 0).
event(464, 0).
event(878, 3).
event(440, 0).
event(365, 2).
event(1407, 2).
event(427, 0).
event(1148, 1).
event(1007, 3).
event(662, 0).
event(920, 1).
event(863, 2).
event(870, 1).
event(767, 3).
event(732, 2).
event(927, 0).
event(613, 3).
event(277, 2).
event(108, 0).
event(425, 3).
event(553, 1).
event(1987, 2).
event(650, 2).
event(1374, 2).
event(121, 0).
event(1682, 0).
event(187, 2).
event(1264, 2).
event(432, 2).
event(1640, 1).
event(1921, 3).
event(1438, 2).
event(69, 0).
event(1972, 2).
event(872, 0).
event(1011, 2).
event(1124, 2).
event(643, 3).
event(473, 0).
event(1003, 1).
event(1999, 0).
event(1796, 0).
event(1128, 0).
event(72, 1).
event(540, 3).
event(23, 1).
event(1897, 0).
event(1390, 2).
event(1115, 1).
event(1677, 3).
event(1753, 2).
event(1629, 2).
event(919, 1).
event(452, 3).
event(1819, 0).
event(1051, 1).
event(1859, 1).
event(951, 1).
event(466, 1).
event(1015, 0).
event(1107, 0).
event(743, 0).
event(789, 3).
event(95, 0).
event(88, 0).
event(1701, 0).
event(668, 0).
event(1769, 0).
event(747, 1).
event(1476, 3).
event(326, 0).
event(1450, 1).
event(745, 0).
event(107, 3).
event(1742, 0).
event(1234, 3).
event(1029, 0).
event(1310, 0).
event(1988, 2).
event(854, 2).
event(570, 2).
event(224, 1).
event(765, 1).
event(1369, 1).
event(303, 0).
event(76, 2).
event(1924, 3).
event(618, 1).
event(1528, 1).
event(253, 2).
event(713, 2).
event(780, 1).
event(1060, 1).
event(715, 3).
event(1158, 3).
event(1725, 0).
event(1661, 3).
event(1521, 1).
event(811, 3).
event(1452, 1).
event(1896, 2).
event(1981, 3).
event(1012, 1).
event(1479, 0).
event(561, 3).
event(281, 3).
event(1645, 0).
event(675, 3).
event(1857, 0).
event(1241, 3).
event(484, 1).
event(1971, 3).
event(1829, 3).
event(1644, 3).
event(1816, 1).
event(776, 0).
event(248, 1).
event(645, 3).
event(825, 0).
event(1361, 2).
event(1201, 3).
event(509, 3).
event(1626, 0).
event(136, 3).
event(1447, 2).
event(250, 3).
event(1548, 1).
event(670, 3).
event(351, 1).
event(538, 1).
event(1634, 3).
event(711, 1).
event(366, 1).
event(390, 2).
event(1255, 2).
event(1394, 1).
event(774, 2).
event(78, 1).
event(637, 1).
event(1076, 0).
event(659, 3).
event(1771, 0).
event(1605, 0).
event(1336, 3).
event(664, 2).
event(1836, 3).
event(1349, 0).
event(63, 0).
event(1211, 1).
event(1698, 3).
event(1489, 0).
event(447, 1).
event(693, 2).
event(1798, 0).
event(1563, 2).
event(1078, 0).
event(251, 1).
event(200, 1).
event(1551, 3).
event(1017, 1).
event(1371, 0).
event(1718, 3).
event(410, 2).
event(356, 3).
event(957, 0).
event(1312, 3).
event(760, 3).
event(1599, 3).
event(1717, 1).
event(327, 3).
event(209, 0).
event(975, 3).
event(120, 2).
event(1233, 3).
event(1097, 3).
event(1317, 3).
event(1571, 0).
event(1, 0).
event(1121, 3).
event(98, 3).
event(563, 2).
event(1678, 0).
event(1596, 0).
event(1625, 0).
event(684, 2).
event(21, 0).
event(856, 3).
event(1631, 3).
event(1662, 2).
event(1445, 1).
event(1935, 3).
event(657, 2).
event(952, 0).
event(1427, 2).
event(1428, 3).
event(903, 0).
event(1709, 0).
event(895, 3).
event(1600, 0).
event(378, 2).
event(738, 1).
event(1199, 2).
event(490, 3).
event(917, 2).
event(1566, 3).
event(201, 1).
event(1681, 1).
event(604, 1).
event(1544, 1).
event(1359, 0).
event(1185, 3).
event(213, 2).
event(495, 3).
event(1959, 3).
event(1195, 0).
event(1995, 0).
event(1799, 3).
event(493, 2).
event(1151, 3).
event(199, 2).
event(8, 1).
event(1595, 2).
event(184, 1).
event(1483, 1).
event(1304, 0).
event(270, 1).
event(249, 0).
event(1952, 2).
event(1134, 2).
event(1048, 2).
event(448, 2).
event(279, 3).
event(938, 2).
event(1188, 2).
event(869, 0).
event(1823, 2).
event(1900, 2).
event(400, 2).
event(1579, 1).
event(1787, 1).
event(135, 3).
event(1093, 0).
event(1648, 2).
event(893, 2).
event(1181, 1).
event(527, 0).
event(1532, 0).
event(1775, 0).
event(104, 1).
event(1137, 0).
event(1143, 2).
event(1954, 2).
event(1910, 1).
event(1423, 0).
event(1807, 1).
event(358, 1).
event(949, 0).
event(1527, 1).
event(86, 3).
event(1559, 3).
event(1607, 1).
event(1735, 2).
event(397, 1).
event(1977, 1).
event(849, 0).
event(1861, 2).
event(1584, 2).
event(983, 3).
event(890, 3).
event(859, 0).
event(889, 0).
event(25, 2).
event(1472, 1).
event(1938, 3).
event(134, 1).
event(965, 0).
event(629, 3).
event(450, 1).
event(489, 0).
event(1096, 2).
event(99, 1).
event(1734, 1).
event(74, 3).
event(1664, 0).
event(392, 3).
event(1839, 1).
event(291, 3).
event(1909, 1).
event(781, 0).
event(10, 3).
event(1658, 1).
event(1165, 2).
event(633, 0).
event(1108, 3).
event(443, 1).
event(1716, 1).
event(1916, 0).
event(596, 0).
event(1058, 2).
event(1130, 3).
event(113, 1).
event(1183, 2).
event(862, 2).
event(228, 3).
event(355, 1).
event(385, 2).
event(459, 3).
event(453, 0).
event(317, 2).
event(149, 3).
event(255, 3).
event(984, 0).
event(1074, 2).
event(1654, 1).
event(1081, 1).
event(551, 2).
event(1512, 0).
event(44, 3).
event(1200, 1).
event(1809, 3).
event(70, 1).
event(667, 0).
event(156, 0).
event(171, 2).
event(208, 1).
event(1572, 2).
event(519, 0).
event(1249, 2).
event(67, 1).
event(1496, 1).
event(1436, 3).
event(1497, 1).
event(34, 0).
event(1230, 1).
event(588, 2).
event(648, 1).
event(296, 0).
event(710, 1).
event(966, 3).
event(476, 2).
event(666, 0).
event(1756, 3).
event(252, 2).
event(1581, 3).
event(1880, 2).
event(211, 1).
event(161, 2).
event(1046, 0).
event(12, 3).
event(1994, 3).
event(1737, 3).
