happensAt(1512, 0).
happensAt(1911, 0).
happensAt(646, 1).
happensAt(629, 1).
happensAt(68, 2).
happensAt(1981, 2).
happensAt(1897, 3).
happensAt(1203, 3).
happensAt(1458, 4).
happensAt(257, 4).
happensAt(1349, 5).
happensAt(1603, 5).
happensAt(1371, 6).
happensAt(840, 6).
happensAt(1252, 7).
happensAt(1428, 7).
happensAt(526, 8).
happensAt(1345, 8).
happensAt(854, 9).
happensAt(1227, 9).
happensAt(738, 10).
happensAt(255, 10).
happensAt(455, 11).
happensAt(754, 11).
happensAt(216, 12).
happensAt(1110, 12).
happensAt(270, 13).
happensAt(1163, 13).
happensAt(1696, 14).
happensAt(392, 14).
happensAt(345, 15).
happensAt(130, 15).
happensAt(296, 16).
happensAt(659, 16).
happensAt(1049, 17).
happensAt(1653, 17).
happensAt(1723, 18).
happensAt(1767, 18).
happensAt(893, 19).
happensAt(616, 19).
happensAt(1242, 20).
happensAt(1568, 20).
happensAt(1425, 21).
happensAt(953, 21).
happensAt(573, 22).
happensAt(1232, 22).
happensAt(432, 23).
happensAt(1667, 23).
happensAt(1662, 24).
happensAt(361, 24).
happensAt(1963, 25).
happensAt(1185, 25).
happensAt(190, 26).
happensAt(1611, 26).
happensAt(689, 27).
happensAt(1149, 27).
happensAt(56, 28).
happensAt(1738, 28).
happensAt(1407, 29).
happensAt(1244, 29).
happensAt(931, 30).
happensAt(767, 30).
happensAt(37, 31).
happensAt(58, 31).
happensAt(1729, 32).
happensAt(1021, 32).
happensAt(1447, 33).
happensAt(509, 33).
happensAt(1521, 34).
happensAt(1971, 34).
happensAt(1368, 35).
happensAt(1908, 35).
happensAt(1065, 36).
happensAt(990, 36).
happensAt(109, 37).
happensAt(1409, 37).
happensAt(1755, 38).
happensAt(992, 38).
happensAt(1995, 39).
happensAt(1130, 39).
happensAt(1697, 40).
happensAt(1588, 40).
happensAt(1293, 41).
happensAt(181, 41).
happensAt(801, 42).
happensAt(1180, 42).
happensAt(783, 43).
happensAt(7, 43).
happensAt(229, 44).
happensAt(271, 44).
happensAt(1443, 45).
happensAt(194, 45).
happensAt(77, 46).
happensAt(1373, 46).
happensAt(1544, 47).
happensAt(139, 47).
happensAt(5, 48).
happensAt(342, 48).
happensAt(1081, 49).
happensAt(1133, 49).
happensAt(1074, 50).
